"hgnc_symbol","reactpathID","description","entrezgene_id"
"AKT1","R-HSA-202131","Metabolism of nitric oxide: NOS3 activation and regulation",207
"AKT1","R-HSA-450385","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",207
"AKT1","R-HSA-450604","KSRP (KHSRP) binds and destabilizes mRNA",207
"AKT1","R-HSA-8978934","Metabolism of cofactors",207
"AKT1","R-HSA-210745","Regulation of gene expression in beta cells",207
"AKT1","R-HSA-389513","CTLA4 inhibitory signaling",207
"AKT1","R-HSA-389357","CD28 dependent PI3K/Akt signaling",207
"AKT1","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",207
"AKT1","R-HSA-392451","G beta:gamma signalling through PI3Kgamma",207
"AKT1","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer",207
"AKT1","R-HSA-354192","Integrin signaling",207
"AKT1","R-HSA-5218920","VEGFR2 mediated vascular permeability",207
"AKT1","R-HSA-8863795","Downregulation of ERBB2 signaling",207
"AKT1","R-HSA-114452","Activation of BH3-only proteins",207
"AKT1","R-HSA-6804758","Regulation of TP53 Activity through Acetylation",207
"AKT1","R-HSA-397795","G-protein beta:gamma signalling",207
"AKT1","R-HSA-389356","CD28 co-stimulation",207
"AKT1","R-HSA-6804757","Regulation of TP53 Degradation",207
"AKT1","R-HSA-6806003","Regulation of TP53 Expression and Degradation",207
"AKT1","R-HSA-9607240","FLT3 Signaling",207
"AKT1","R-HSA-76009","Platelet Aggregation (Plug Formation)",207
"AKT1","R-HSA-165159","MTOR signalling",207
"AKT2","R-HSA-9614399","Regulation of localization of FOXO transcription factors",208
"AKT2","R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways",208
"AKT2","R-HSA-1358803","Downregulation of ERBB2:ERBB3 signaling",208
"AKT2","R-HSA-198323","AKT phosphorylates targets in the cytosol",208
"AKT2","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors",208
"AKT2","R-HSA-111447","Activation of BAD and translocation to mitochondria ",208
"AKT2","R-HSA-210745","Regulation of gene expression in beta cells",208
"AKT2","R-HSA-389513","CTLA4 inhibitory signaling",208
"AKT2","R-HSA-389357","CD28 dependent PI3K/Akt signaling",208
"AKT2","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",208
"AKT2","R-HSA-392451","G beta:gamma signalling through PI3Kgamma",208
"AKT2","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer",208
"AKT2","R-HSA-5218920","VEGFR2 mediated vascular permeability",208
"AKT2","R-HSA-8863795","Downregulation of ERBB2 signaling",208
"AKT2","R-HSA-114452","Activation of BH3-only proteins",208
"AKT2","R-HSA-6804758","Regulation of TP53 Activity through Acetylation",208
"AKT2","R-HSA-397795","G-protein beta:gamma signalling",208
"AKT2","R-HSA-389356","CD28 co-stimulation",208
"AKT2","R-HSA-6804757","Regulation of TP53 Degradation",208
"AKT2","R-HSA-6806003","Regulation of TP53 Expression and Degradation",208
"AKT2","R-HSA-9607240","FLT3 Signaling",208
"AKT2","R-HSA-165159","MTOR signalling",208
"AKT2","R-HSA-186712","Regulation of beta-cell development",208
"AKT2","R-HSA-3769402","Deactivation of the beta-catenin transactivating complex",208
"AKT2","R-HSA-109704","PI3K Cascade",208
"AKT2","R-HSA-112399","IRS-mediated signalling",208
"AKT2","R-HSA-1227986","Signaling by ERBB2",208
"AKT2","R-HSA-2428928","IRS-related events triggered by IGF1R",208
"AKT2","R-HSA-2428924","IGF1R signaling cascade",208
"AKT2","R-HSA-2404192","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",208
"AKT3","R-HSA-9614399","Regulation of localization of FOXO transcription factors",10000
"AKT3","R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways",10000
"AKT3","R-HSA-1358803","Downregulation of ERBB2:ERBB3 signaling",10000
"AKT3","R-HSA-198323","AKT phosphorylates targets in the cytosol",10000
"AKT3","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors",10000
"AKT3","R-HSA-111447","Activation of BAD and translocation to mitochondria ",10000
"AKT3","R-HSA-210745","Regulation of gene expression in beta cells",10000
"AKT3","R-HSA-389513","CTLA4 inhibitory signaling",10000
"AKT3","R-HSA-389357","CD28 dependent PI3K/Akt signaling",10000
"AKT3","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",10000
"AKT3","R-HSA-392451","G beta:gamma signalling through PI3Kgamma",10000
"AKT3","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer",10000
"AKT3","R-HSA-5218920","VEGFR2 mediated vascular permeability",10000
"AKT3","R-HSA-8863795","Downregulation of ERBB2 signaling",10000
"AKT3","R-HSA-114452","Activation of BH3-only proteins",10000
"AKT3","R-HSA-6804758","Regulation of TP53 Activity through Acetylation",10000
"AKT3","R-HSA-397795","G-protein beta:gamma signalling",10000
"AKT3","R-HSA-389356","CD28 co-stimulation",10000
"AKT3","R-HSA-6804757","Regulation of TP53 Degradation",10000
"AKT3","R-HSA-6806003","Regulation of TP53 Expression and Degradation",10000
"AKT3","R-HSA-9607240","FLT3 Signaling",10000
"AKT3","R-HSA-186712","Regulation of beta-cell development",10000
"AKT3","R-HSA-1227986","Signaling by ERBB2",10000
"AKT3","R-HSA-109606","Intrinsic Pathway for Apoptosis",10000
"AKT3","R-HSA-9614085","FOXO-mediated transcription",10000
"AKT3","R-HSA-388841","Costimulation by the CD28 family",10000
"AKT3","R-HSA-8948751","Regulation of PTEN stability and activity",10000
"AKT3","R-HSA-9009391","Extra-nuclear estrogen signaling",10000
"AKT3","R-HSA-69202","Cyclin E associated events during G1/S transition ",10000
"AKT3","R-HSA-69656","Cyclin A:Cdk2-associated events at S phase entry",10000
"ALB","R-HSA-8964058","HDL remodeling",213
"ALB","R-HSA-9757110","Prednisone ADME",213
"ALB","R-HSA-2168880","Scavenging of heme from plasma",213
"ALB","R-HSA-189451","Heme biosynthesis",213
"ALB","R-HSA-189483","Heme degradation",213
"ALB","R-HSA-159418","Recycling of bile acids and salts",213
"ALB","R-HSA-189445","Metabolism of porphyrins",213
"ALB","R-HSA-8963899","Plasma lipoprotein remodeling",213
"ALB","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors",213
"ALB","R-HSA-9749641","Aspirin ADME",213
"ALB","R-HSA-194068","Bile acid and bile salt metabolism",213
"ALB","R-HSA-9707564","Cytoprotection by HMOX1",213
"ALB","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance",213
"ALB","R-HSA-8957275","Post-translational protein phosphorylation",213
"ALB","R-HSA-9748784","Drug ADME",213
"ALB","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",213
"ALB","R-HSA-114608","Platelet degranulation ",213
"ALB","R-HSA-76005","Response to elevated platelet cytosolic Ca2+",213
"ALB","R-HSA-8957322","Metabolism of steroids",213
"ALB","R-HSA-9711123","Cellular response to chemical stress",213
"ALB","R-HSA-76002","Platelet activation, signaling and aggregation",213
"BDKRB2","R-HSA-375276","Peptide ligand-binding receptors",624
"BDKRB2","R-HSA-416476","G alpha (q) signalling events",624
"BDKRB2","R-HSA-418594","G alpha (i) signalling events",624
"BDKRB2","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",624
"BDKRB2","R-HSA-500792","GPCR ligand binding",624
"C1QA","R-HSA-166786","Creation of C4 and C2 activators",712
"C1QA","R-HSA-166663","Initial triggering of complement",712
"C1QA","R-HSA-977606","Regulation of Complement cascade",712
"C1QA","R-HSA-166658","Complement cascade",712
"C1QB","R-HSA-166786","Creation of C4 and C2 activators",713
"C1QB","R-HSA-166663","Initial triggering of complement",713
"C1QB","R-HSA-977606","Regulation of Complement cascade",713
"C1QB","R-HSA-166658","Complement cascade",713
"C1QC","R-HSA-166786","Creation of C4 and C2 activators",714
"C1QC","R-HSA-166663","Initial triggering of complement",714
"C1QC","R-HSA-977606","Regulation of Complement cascade",714
"C1QC","R-HSA-166658","Complement cascade",714
"C3","R-HSA-166663","Initial triggering of complement",718
"C3","R-HSA-9660826","Purinergic signaling in leishmaniasis infection",718
"C3","R-HSA-9664424","Cell recruitment (pro-inflammatory response)",718
"C3","R-HSA-977606","Regulation of Complement cascade",718
"C3","R-HSA-166658","Complement cascade",718
"C3","R-HSA-8957275","Post-translational protein phosphorylation",718
"C3","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",718
"C3","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",718
"C3","R-HSA-9658195","Leishmania infection",718
"C3","R-HSA-375276","Peptide ligand-binding receptors",718
"C3","R-HSA-418594","G alpha (i) signalling events",718
"C3","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",718
"C3","R-HSA-500792","GPCR ligand binding",718
"C3","R-HSA-6798695","Neutrophil degranulation",718
"CALR","R-HSA-381183","ATF6 (ATF6-alpha) activates chaperone genes",811
"CALR","R-HSA-381033","ATF6 (ATF6-alpha) activates chaperones",811
"CALR","R-HSA-3000480","Scavenging by Class A Receptors",811
"CALR","R-HSA-901042","Calnexin/calreticulin cycle",811
"CALR","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",811
"CALR","R-HSA-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",811
"CALR","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors",811
"CALR","R-HSA-1236974","ER-Phagosome pathway",811
"CALR","R-HSA-381119","Unfolded Protein Response (UPR)",811
"CALR","R-HSA-1236975","Antigen processing-Cross presentation",811
"CALR","R-HSA-168255","Influenza Infection",811
"CALR","R-HSA-446203","Asparagine N-linked glycosylation",811
"CALR","R-HSA-983169","Class I MHC mediated antigen processing & presentation",811
"CASP8","R-HSA-2562578","TRIF-mediated programmed cell death",841
"CASP8","R-HSA-3371378","Regulation by c-FLIP",841
"CASP8","R-HSA-5218900","CASP8 activity is inhibited",841
"CASP8","R-HSA-69416","Dimerization of procaspase-8",841
"CASP8","R-HSA-264870","Caspase-mediated cleavage of cytoskeletal proteins",841
"CASP8","R-HSA-5357786","TNFR1-induced proapoptotic signaling",841
"CASP8","R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",841
"CASP8","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand",841
"CASP8","R-HSA-9758274","Regulation of NF-kappa B signaling",841
"CASP8","R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway",841
"CASP8","R-HSA-5213460","RIPK1-mediated regulated necrosis",841
"CASP8","R-HSA-5675482","Regulation of necroptotic cell death",841
"CASP8","R-HSA-168638","NOD1/2 Signaling Pathway",841
"CASP8","R-HSA-111465","Apoptotic cleavage of cellular proteins",841
"CASP8","R-HSA-5357905","Regulation of TNFR1 signaling",841
"CASP8","R-HSA-445989","TAK1-dependent IKK and NF-kappa-B activation  ",841
"CASP8","R-HSA-75893","TNF signaling",841
"CASP8","R-HSA-75153","Apoptotic execution phase",841
"CASP8","R-HSA-109606","Intrinsic Pathway for Apoptosis",841
"CASP8","R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",841
"CASP8","R-HSA-5218859","Regulated Necrosis",841
"CASP8","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta",841
"CASP8","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade",841
"CASP8","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade",841
"CASP8","R-HSA-975871","MyD88 cascade initiated on plasma membrane",841
"CASP8","R-HSA-5607764","CLEC7A (Dectin-1) signaling",841
"CASP8","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",841
"CASP8","R-HSA-975155","MyD88 dependent cascade initiated on endosome",841
"CASP8","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade",841
"CASP8","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade",841
"CCL2","R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum  stress",6347
"CCL2","R-HSA-381042","PERK regulates gene expression",6347
"CCL2","R-HSA-6783783","Interleukin-10 signaling",6347
"CCL2","R-HSA-380108","Chemokine receptors bind chemokines",6347
"CCL2","R-HSA-381119","Unfolded Protein Response (UPR)",6347
"CCL2","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",6347
"CCL2","R-HSA-375276","Peptide ligand-binding receptors",6347
"CCL2","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",6347
"CCL2","R-HSA-500792","GPCR ligand binding",6347
"CCL2","R-HSA-449147","Signaling by Interleukins",6347
"CCL3","R-HSA-6783783","Interleukin-10 signaling",6348
"CCL3","R-HSA-380108","Chemokine receptors bind chemokines",6348
"CCL3","R-HSA-375276","Peptide ligand-binding receptors",6348
"CCL3","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",6348
"CCL3","R-HSA-500792","GPCR ligand binding",6348
"CCL3","R-HSA-449147","Signaling by Interleukins",6348
"CCL3L1","R-HSA-6783783","Interleukin-10 signaling",6349
"CCL3L1","R-HSA-380108","Chemokine receptors bind chemokines",6349
"CCL3L1","R-HSA-375276","Peptide ligand-binding receptors",6349
"CCL3L1","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",6349
"CCL3L1","R-HSA-500792","GPCR ligand binding",6349
"CCL3L1","R-HSA-449147","Signaling by Interleukins",6349
"CCL3L3","R-HSA-6783783","Interleukin-10 signaling",414062
"CCL3L3","R-HSA-380108","Chemokine receptors bind chemokines",414062
"CCL3L3","R-HSA-375276","Peptide ligand-binding receptors",414062
"CCL3L3","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",414062
"CCL3L3","R-HSA-500792","GPCR ligand binding",414062
"CCL3L3","R-HSA-449147","Signaling by Interleukins",414062
"CCL5","R-HSA-6783783","Interleukin-10 signaling",6352
"CCL5","R-HSA-380108","Chemokine receptors bind chemokines",6352
"CCL5","R-HSA-375276","Peptide ligand-binding receptors",6352
"CCL5","R-HSA-418594","G alpha (i) signalling events",6352
"CCL5","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",6352
"CCL5","R-HSA-500792","GPCR ligand binding",6352
"CCL5","R-HSA-449147","Signaling by Interleukins",6352
"CD247","R-HSA-2029481","FCGR activation",919
"CD247","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse",919
"CD247","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains",919
"CD247","R-HSA-389948","PD-1 signaling",919
"CD247","R-HSA-2029485","Role of phospholipids in phagocytosis",919
"CD247","R-HSA-164952","The role of Nef in HIV-1 replication and disease pathogenesis",919
"CD247","R-HSA-202433","Generation of second messenger molecules",919
"CD247","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",919
"CD247","R-HSA-9664407","Parasite infection",919
"CD247","R-HSA-9664417","Leishmania phagocytosis",919
"CD247","R-HSA-9664422","FCGR3A-mediated phagocytosis",919
"CD247","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",919
"CD247","R-HSA-388841","Costimulation by the CD28 family",919
"CD247","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",919
"CD247","R-HSA-9664433","Leishmania parasite growth and survival",919
"CD247","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",919
"CD247","R-HSA-202424","Downstream TCR signaling",919
"CD247","R-HSA-202403","TCR signaling",919
"CD247","R-HSA-162909","Host Interactions of HIV factors",919
"CD247","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",919
"CD247","R-HSA-9658195","Leishmania infection",919
"CD247","R-HSA-162906","HIV Infection",919
"CD3D","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse",915
"CD3D","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains",915
"CD3D","R-HSA-389948","PD-1 signaling",915
"CD3D","R-HSA-202433","Generation of second messenger molecules",915
"CD3D","R-HSA-388841","Costimulation by the CD28 family",915
"CD3D","R-HSA-202424","Downstream TCR signaling",915
"CD3D","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis",915
"CD3D","R-HSA-202403","TCR signaling",915
"CD3D","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",915
"CD3D","R-HSA-8856828","Clathrin-mediated endocytosis",915
"CD3E","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse",916
"CD3E","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains",916
"CD3E","R-HSA-389948","PD-1 signaling",916
"CD3E","R-HSA-202433","Generation of second messenger molecules",916
"CD3E","R-HSA-388841","Costimulation by the CD28 family",916
"CD3E","R-HSA-202424","Downstream TCR signaling",916
"CD3E","R-HSA-202403","TCR signaling",916
"CD3E","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",916
"CD3G","R-HSA-2029481","FCGR activation",917
"CD3G","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse",917
"CD3G","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains",917
"CD3G","R-HSA-389948","PD-1 signaling",917
"CD3G","R-HSA-2029485","Role of phospholipids in phagocytosis",917
"CD3G","R-HSA-202433","Generation of second messenger molecules",917
"CD3G","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",917
"CD3G","R-HSA-9664407","Parasite infection",917
"CD3G","R-HSA-9664417","Leishmania phagocytosis",917
"CD3G","R-HSA-9664422","FCGR3A-mediated phagocytosis",917
"CD3G","R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",917
"CD3G","R-HSA-388841","Costimulation by the CD28 family",917
"CD3G","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",917
"CD3G","R-HSA-9664433","Leishmania parasite growth and survival",917
"CD3G","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",917
"CD3G","R-HSA-202424","Downstream TCR signaling",917
"CD3G","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis",917
"CD3G","R-HSA-202403","TCR signaling",917
"CD3G","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",917
"CD3G","R-HSA-8856828","Clathrin-mediated endocytosis",917
"CD3G","R-HSA-9658195","Leishmania infection",917
"CFLAR","R-HSA-3371378","Regulation by c-FLIP",8837
"CFLAR","R-HSA-5218900","CASP8 activity is inhibited",8837
"CFLAR","R-HSA-69416","Dimerization of procaspase-8",8837
"CFLAR","R-HSA-140534","Caspase activation via Death Receptors in the presence of ligand",8837
"CFLAR","R-HSA-5357769","Caspase activation via extrinsic apoptotic signalling pathway",8837
"CFLAR","R-HSA-5213460","RIPK1-mediated regulated necrosis",8837
"CFLAR","R-HSA-5675482","Regulation of necroptotic cell death",8837
"CFLAR","R-HSA-5357905","Regulation of TNFR1 signaling",8837
"CFLAR","R-HSA-75893","TNF signaling",8837
"CFLAR","R-HSA-5218859","Regulated Necrosis",8837
"CFLAR","R-HSA-73887","Death Receptor Signalling",8837
"CFLAR","R-HSA-109581","Apoptosis",8837
"CFLAR","R-HSA-5357801","Programmed Cell Death",8837
"CHUK","R-HSA-933543","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",1147
"CHUK","R-HSA-198323","AKT phosphorylates targets in the cytosol",1147
"CHUK","R-HSA-937039","IRAK1 recruits IKK complex",1147
"CHUK","R-HSA-975144","IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation",1147
"CHUK","R-HSA-5684264","MAP3K8 (TPL2)-dependent MAPK1/3 activation",1147
"CHUK","R-HSA-1810476","RIP-mediated NFkB activation via ZBP1",1147
"CHUK","R-HSA-9758274","Regulation of NF-kappa B signaling",1147
"CHUK","R-HSA-168927","TICAM1, RIP1-mediated IKK complex recruitment",1147
"CHUK","R-HSA-1606322","ZBP1(DAI) mediated induction of type I IFNs",1147
"CHUK","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer",1147
"CHUK","R-HSA-933542","TRAF6 mediated NF-kB activation",1147
"CHUK","R-HSA-937041","IKK complex recruitment mediated by RIP1",1147
"CHUK","R-HSA-5357956","TNFR1-induced NFkappaB signaling pathway",1147
"CHUK","R-HSA-5260271","Diseases of Immune System",1147
"CHUK","R-HSA-5602358","Diseases associated with the TLR signaling cascade",1147
"CHUK","R-HSA-168638","NOD1/2 Signaling Pathway",1147
"CHUK","R-HSA-5357905","Regulation of TNFR1 signaling",1147
"CHUK","R-HSA-445989","TAK1-dependent IKK and NF-kappa-B activation  ",1147
"CHUK","R-HSA-75893","TNF signaling",1147
"CHUK","R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1147
"CHUK","R-HSA-5676590","NIK-->noncanonical NF-kB signaling",1147
"CHUK","R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling",1147
"CHUK","R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ",1147
"CHUK","R-HSA-450294","MAP kinase activation",1147
"CHUK","R-HSA-1169091","Activation of NF-kappaB in B cells",1147
"CHUK","R-HSA-448424","Interleukin-17 signaling",1147
"CHUK","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta",1147
"CHUK","R-HSA-2871837","FCERI mediated NF-kB activation",1147
"CHUK","R-HSA-1168372","Downstream signaling events of B Cell Receptor (BCR)",1147
"CHUK","R-HSA-1236974","ER-Phagosome pathway",1147
"CR1","R-HSA-8877330","RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",1378
"CR1","R-HSA-977606","Regulation of Complement cascade",1378
"CR1","R-HSA-166658","Complement cascade",1378
"CR1","R-HSA-8878171","Transcriptional regulation by RUNX1",1378
"CR1","R-HSA-6798695","Neutrophil degranulation",1378
"CXCL8","R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum  stress",3576
"CXCL8","R-HSA-381042","PERK regulates gene expression",3576
"CXCL8","R-HSA-6783783","Interleukin-10 signaling",3576
"CXCL8","R-HSA-380108","Chemokine receptors bind chemokines",3576
"CXCL8","R-HSA-381119","Unfolded Protein Response (UPR)",3576
"CXCL8","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",3576
"CXCL8","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)",3576
"CXCL8","R-HSA-2559583","Cellular Senescence",3576
"CXCL8","R-HSA-375276","Peptide ligand-binding receptors",3576
"CXCL8","R-HSA-418594","G alpha (i) signalling events",3576
"CXCL8","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",3576
"CXCL8","R-HSA-500792","GPCR ligand binding",3576
"CXCL8","R-HSA-449147","Signaling by Interleukins",3576
"CYBA","R-HSA-9664420","Killing mechanisms",1535
"CYBA","R-HSA-9673324","WNT5:FZD7-mediated leishmania damping",1535
"CYBA","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases",1535
"CYBA","R-HSA-1222556","ROS and RNS production in phagocytes",1535
"CYBA","R-HSA-3299685","Detoxification of Reactive Oxygen Species",1535
"CYBA","R-HSA-9013404","RAC2 GTPase cycle",1535
"CYBA","R-HSA-9013423","RAC3 GTPase cycle",1535
"CYBA","R-HSA-4420097","VEGFA-VEGFR2 Pathway",1535
"CYBA","R-HSA-1236975","Antigen processing-Cross presentation",1535
"CYBA","R-HSA-194138","Signaling by VEGF",1535
"CYBA","R-HSA-9658195","Leishmania infection",1535
"CYBA","R-HSA-9013149","RAC1 GTPase cycle",1535
"CYBA","R-HSA-9711123","Cellular response to chemical stress",1535
"CYBA","R-HSA-195258","RHO GTPase Effectors",1535
"CYBA","R-HSA-983169","Class I MHC mediated antigen processing & presentation",1535
"CYBA","R-HSA-9012999","RHO GTPase cycle",1535
"CYBA","R-HSA-6798695","Neutrophil degranulation",1535
"CYBB","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases",1536
"CYBB","R-HSA-1222556","ROS and RNS production in phagocytes",1536
"CYBB","R-HSA-3299685","Detoxification of Reactive Oxygen Species",1536
"CYBB","R-HSA-9013404","RAC2 GTPase cycle",1536
"CYBB","R-HSA-9013423","RAC3 GTPase cycle",1536
"CYBB","R-HSA-4420097","VEGFA-VEGFR2 Pathway",1536
"CYBB","R-HSA-1236975","Antigen processing-Cross presentation",1536
"CYBB","R-HSA-194138","Signaling by VEGF",1536
"CYBB","R-HSA-9013149","RAC1 GTPase cycle",1536
